,r.name,r.id,r.parent_fxf,r.description,r.updatedAt,r.createdAt,r.metadata_updated_at,r.data_updated_at,r.page_views,r.columns_field_name,r.columns_datatype,r.columns_description,r.publication_date,c.domain_tags,c.domain_metadata,permalink
125,Childcare centres,rdi4-j8zh,[],Facilities that look after young children during the day. Information about the data fields can be found here: http://standards.opencouncildata.org/#/childcare_centres.,2021-07-31T16:39:03.000Z,2016-01-29T02:34:46.000Z,2021-07-31 16:38:53+00:00,2021-07-31 16:39:03+00:00,"{'page_views_last_week': 6, 'page_views_last_month': 27, 'page_views_total': 1250, 'page_views_last_week_log': 2.807354922057604, 'page_views_last_month_log': 4.807354922057604, 'page_views_total_log': 10.28886607416582}","['ref', 'name', 'lat', 'url', 'contact_ph', 'lon']","['Text', 'Text', 'Text', 'URL', 'Text', 'Text']","['', '', '', '', '', '']",2017-12-28 03:36:54+00:00,"['child care centres', 'daycare', 'facility', 'families']","[{'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Monthly'}]",https://data.melbourne.vic.gov.au/d/rdi4-j8zh
126,Staff salary and wages budget 2014-15,55up-8nwa,[],"This dataset shows the summary of planned Human Resources expenditure across permanent and temporary council staff. It also includes a breakdown of expenditure and number of staff for each category across the organisation's structure.

It also includes information if the figure relates to a planned, actual or budgeted expense record.",2020-03-04T22:54:28.000Z,2015-04-28T06:53:35.000Z,2020-03-04 22:54:28+00:00,2015-05-07 06:30:36+00:00,"{'page_views_last_week': 2, 'page_views_last_month': 5, 'page_views_total': 1243, 'page_views_last_week_log': 1.5849625007211563, 'page_views_last_month_log': 2.584962500721156, 'page_views_total_log': 10.280770770130603}","['actual_budget_plan', 'year', 'value_000', 'category', 'description', 'as_at_date']","['Text', 'Text', 'Number', 'Text', 'Text', 'Text']","['A category value to indicate if the figure represents actual, budgeted or planned values', 'The financial year in which these figures relate to', 'The dollar (AUD) in thousands for this financial indicator', 'The category represents the organisational branch for this financial measure', 'Category value (one of: Permanent full time, Permanent part time, Total casuals and other) representing the contractual arrangement for each category', 'The date when this financial record was calculated']",2015-05-07 06:31:01+00:00,"['budget', 'citizenreporter', 'expenditure', 'finance', 'human resources']","[{'key': 'Quality_Known-Issues', 'value': 'Listed branches will be different in subsequent years due to organisational restructuring'}, {'key': 'Quality_Data-quality-statement', 'value': 'This dataset is from the figures provided in the Annual plan and budget each financial year'}, {'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': ""Quality_What's-included"", 'value': 'Only raw data tables from the annual plan and budget have been included, tables that are calculations from this data has not been included'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'How-to-use_Further-information', 'value': 'http://www.melbourne.vic.gov.au/AboutCouncil/financegovernance/Budget/Documents/Annual_Plan_Budget_Document_2014_2015.pdf'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Daily'}]",https://data.melbourne.vic.gov.au/d/55up-8nwa
127,Microclimate Sensor Locations,irqv-hjr4,[],"This dataset contains location and location description for each set of microclimate sensor device installed throughout the city. Sensors are typically installed on a street pole and locations are selected based on relevant project criteria.

Since the beginning of the Microclimate Sensor Readings in 2019, some sensor devices have been relocated. This may be for various reasons such as construction works. Any changes to sensor locations are important to consider when analysing and interpreting historical data. 

The site_id column can be used to merge the data with related dataset (linked below). 

Related datasets:
<a href=""https://data.melbourne.vic.gov.au/Environment/Microclimate-Sensor-Readings/u4vh-84j8"">Microclimate Sensor - Sensor Readings",2021-08-01T01:30:15.000Z,2020-06-17T22:22:29.000Z,2021-08-01 01:30:05+00:00,2021-08-01 01:30:15+00:00,"{'page_views_last_week': 18, 'page_views_last_month': 66, 'page_views_total': 1238, 'page_views_last_week_log': 4.247927513443585, 'page_views_last_month_log': 6.066089190457772, 'page_views_total_log': 10.274960472140602}","['site_id', 'description', 'last_data', 'latitude', 'longitude', 'location']","['Text', 'Text', 'Calendar date', 'Number', 'Number', 'Point']","['location id ', 'description of the location of the site', 'date and time when the last data was sent from the sensor', 'latitude of the site', 'longitude of the site', 'spatial location ']",2020-06-23 04:59:37+00:00,"['climate', 'environment', 'air quality', 'sensor', 'environmental monitoring', 'location', 'temperature', 'pressure', 'particulate', 'wind', 'humidity', 'sensors', 'cityreactivation']","[{'key': 'Data-management_Source-data-update-frequency', 'value': 'Hourly'}, {'key': 'Quality_Update-frequency', 'value': 'Hourly'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Quality_Known-Issues', 'value': 'None'}]",https://data.melbourne.vic.gov.au/d/irqv-hjr4
128,"Bird Survey Results for Areas in the City of Melbourne, February and March 2018",6cxw-5y4y,[],"This dataset contains survey data for bird species across various river and wetland locations in the City of Melbourne. Bird transect surveys were conducted by Ecology Australia at the following locations: Dynon Road, West Melbourne, Wildlife Sanctuary (1), Dynon Road, West Melbourne, Tidal Drain (2), Moonee Ponds Creek lower catchment near Racecourse Road, Kensington and Dynon Road, West Melbourne (3), Maribyrnong River near Newells Paddock and Dynon Road, West Melbourne (4), Royal Park Oak Street Wetland (5), and Stony Creek Backwash, Footscray (6). Surveys were undertaken during daylight hours and were repeated on various dates throughout February and March 2018. Bird surveys were conducted by completing transects along the waterbodies and identifying bird species and numbers. These surveys were undertaken to primarily track bird species richness at Site (1) with Site (3) existing as a reference site with comparable habitat characteristics.

This bird survey dataset includes the bird’s common name, scientific name, the corresponding Victorian Biodiversity Atlas Code, the date the survey was conducted, and the location of the survey (including the latitude and longitude). The Victorian Biodiversity Atlas (VBA) is managed by the Department of Environment, Land, Water and Planning (DELWP) and provides a list of species observations in Victoria. Each species has an identification ‘code’ number.

Please get in contact with the Urban Forest and Ecology Team (nature@melbourne.vic.gov.au) if you wish to view the full report by Ecology Australia or if you have any questions about the dataset.",2019-11-19T22:17:16.000Z,2019-01-08T05:22:14.000Z,2019-11-19 22:17:16+00:00,2019-01-09 03:20:29+00:00,"{'page_views_last_week': 11, 'page_views_last_month': 18, 'page_views_total': 1237, 'page_views_last_week_log': 3.5849625007211565, 'page_views_last_month_log': 4.247927513443585, 'page_views_total_log': 10.273795599214266}","['loc2_desc', 'lon2', 'location_1_address', 'location_1_city', 'location_1_state', 'location_1_zip', 'loc1_desc', 'lat', 'sighting_date', 'lat2', 'sighting_count', 'location_1', 'site_name', 'scientific_name', 'victorian_biodiversity_atlas', 'common_name', 'lon', 'location_2']","['Text', 'Number', 'Text', 'Text', 'Text', 'Text', 'Text', 'Number', 'Calendar date', 'Number', 'Number', 'Point', 'Text', 'Text', 'Number', 'Text', 'Number', 'Text']","['Location name/description', 'Longitude of the site (either upstream or downstream)', '', '', '', '', 'Location name/description', 'Latitude of the site (either upstream or downstream)', 'The date of the bird sighting.', 'Latitude of the site (either upstream or downstream)', 'The count of sighting for specific bird species. ', 'The upstream or downstream location of the data, further information in the location description field.', 'Site short name/description', 'The bird species scientific name', 'The Victorian Biodiversity Atlas (VBA) species identification number. ', 'The bird species common name', 'Longitude of the site (either upstream or downstream)', 'The upstream or downstream location of the data, further information in the location description field.']",2019-01-08 22:48:50+00:00,"['biodiversity', 'birds', 'nature', 'rivers', 'urban ecology', 'wetlands']","[{'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'Quality_Data-quality-statement', 'value': 'Reliable and recent'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Static (not updated)'}]",https://data.melbourne.vic.gov.au/d/6cxw-5y4y
129,Venues for event bookings,84bf-dihi,[],"This dataset shows the location and names of all of the bookable event spaces available to the general public (applications apply) this dataset also shows which events are suitable, whether dogs are allowed and whether they are smoke free or not.",2020-02-25T02:20:00.000Z,2015-06-23T22:16:01.000Z,2020-02-25 02:20:00+00:00,,"{'page_views_last_week': 1, 'page_views_last_month': 2, 'page_views_total': 1203, 'page_views_last_week_log': 1.0, 'page_views_last_month_log': 1.5849625007211563, 'page_views_total_log': 10.233619676759702}",[],[],[],2015-06-29 05:47:06+00:00,"['booking', 'bookings', 'events', 'eventsplanner']","[{'key': ""Quality_What's-included"", 'value': 'Some larger event venues have been excluded due to only being available for premier events, if you consider your event to meet this classification, please contact the City of Melbourne to discuss.'}, {'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Quality_Data-quality-statement', 'value': 'Some of the dataset is not as meaningful as could be, we are continually working on improving this dataset and value your feedback'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/84bf-dihi
130,Employment by block by ANZSIC,mi2q-4527,[],"Data collected as part of the City of Melbourne's Census of Land Use and Employment (CLUE). The data covers the period 2002-2019. It shows employment (number of jobs) per city (CLUE) block, classified by their ANZSIC1 industry and small area allocation. 

This dataset has been confidentialised to protect the commercially sensitive information of individual businesses. Data in cells which pertain to two or fewer businesses have been suppressed and are shown as a blank cell. The row and column totals refer to the true total, including those suppressed cells.

Non-confidentialised data may be made available subject to a data supply agreement. For more information contact clue@melbourne.vic.gov.au

For CLUE block spatial files see https://data.melbourne.vic.gov.au/Economy/Census-of-Land-Use-and-Employment-Blocks/aia8-ryiq

For more information about CLUE see http://www.melbourne.vic.gov.au/clue

For more information about the ANZSIC industry classification system see http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0",2020-09-10T23:06:05.000Z,2018-09-05T04:24:06.000Z,2020-09-10 23:06:01+00:00,2020-09-10 23:06:05+00:00,"{'page_views_last_week': 156, 'page_views_last_month': 287, 'page_views_total': 1202, 'page_views_last_week_log': 7.294620748891627, 'page_views_last_month_log': 8.169925001442312, 'page_views_total_log': 10.232420927176076}","['health_care_and_social', 'mining', 'manufacturing', 'information_media_and', 'electricity_gas_water_and', 'agriculture_forestry_and', 'census_year', 'accommodation_and_food', 'clue_small_area', 'block_id', 'administrative_and_support', 'arts_and_recreation_services', 'construction', 'education_and_training', 'professional_scientific_and', 'retail_trade', 'total_employment_in_block', 'transport_postal_and', 'rental_hiring_and_real_estate', 'wholesale_trade', 'public_administration_and', 'other_services', 'financial_and_insurance']","['Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Number', 'Text', 'Text', 'Number', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text', 'Text']","['Health Care and Social Assistance includes business providing human health care and social assistance.', 'Mining includes business that extract naturally occurring mineral solids, such as coal and ores; liquid minerals, such as crude petroleum; and gases, such as natural gas', 'Manufacturing includes business mainly engaged in the physical or chemical transformation of materials, substances or components into new products (except agriculture and construction).', 'Information Media and Telecommunications business engage in creating, enhancing and storing information products in media, transmitting using analogue and digital signals or providing transmission services and infrastructure.', 'Education and Training includes organisations in the provision and support of education and training.', 'Agriculture, Forestry and Fishing includes business engaged in growing crops, raising animals, growing and harvesting timber, and harvesting fish and other animals from farms or their natural habitats.', 'The CLUE census year refers to the year in which surveying was completed.', 'Accommodation business provides short-term accommodation for visitors. Food service business provide food and beverage services, preparation and serving of meals on and off site.', 'CLUE small areas are composed of a group of city blocks, each of which is identified by a unique block number.', 'The Census area is divided into city blocks, each of which is identified by a unique block number. Blocks are primarily defined by major roads. There are around 606 blocks in the City of Melbourne.', 'Administrative and Support Services includes business engaged in performing routine support activities for the day-to-day operations of other businesses or organisations.', 'Arts and Recreation Services includes business engaged in preservation/exhibition of object/sites of historical, cultural or educational interest; production of artistic works and/or live performances/events/exhibits for public viewing; and the operation of facilities that enable patrons to participate in sporting or recreational activities.', 'Construction includes business engaged in the construction, repair or maintenance of buildings and other structures.', 'Education and Training includes organisations in the provision and support of education and training.', 'Professional, Scientific and Technical Services provide services where labour inputs are integral to the production or service delivery. These services include scientific research, architecture, engineering, computer systems design, law, accountancy, advertising, market research, management and other consultancy, veterinary science and professional photography.', 'Retail Trade engages in the purchase and on-selling to the general public.', 'The total number of Jobs in the block.', 'Transport, Postal and Warehousing includes business engaging in passenger transportation, freight and postal by road, rail, water or air. Also the provision of goods warehousing and storage.', 'Rental, Hiring and Real Estate Services engage in renting, hiring, or otherwise allowing the use of tangible or intangible assets.', 'Wholesale Trade engages in the purchase and on-selling to businesses.', 'Public Administration and Safety includes units mainly engaged in Central, State or Local Government legislative, executive and judicial activities.', 'Other Services includes a broad range of personal services; religious, civic, professional and other interest group services; selected repair and maintenance activities; and private households employing staff.', 'Financial and Insurance Services engage in financial transactions of financial assets and in facilitating financial transactions.']",2018-09-06 00:30:16+00:00,"['anzsic', 'business', 'census of land use and employment', 'clue', 'employment', 'industry', 'jobs']","[{'key': ""Quality_What's-included"", 'value': 'This dataset has been confidentialised to protect the commercially sensitive information of individual businesses. Data in cells which pertain to two or fewer businesses have been suppressed and are shown as a blank cell. The row and column totals refer to the true total, including those suppressed cells.'}, {'key': 'Quality_Update-frequency', 'value': 'Annually'}, {'key': 'Quality_Data-quality-statement', 'value': 'A team of 4 census officers conduct field interviews which involves visiting every establishment in every building in the Census area (City of Melbourne municipality). Every commercial property is surveyed at least once every two years.'}, {'key': 'How-to-use_Linked-to', 'value': 'https://data.melbourne.vic.gov.au/Economy/Census-of-Land-Use-and-Employment-Blocks/aia8-ryiq'}, {'key': 'How-to-use_Further-information', 'value': 'http://www.melbourne.vic.gov.au/clue'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/mi2q-4527
131,Dog Walking Zones,vzb2-a2kz,[],"Dog walking zones are regions within which dog walking is permitted off-leash, on-leash, or not at all.",2021-07-31T16:33:34.000Z,2017-01-12T10:18:07.000Z,2021-07-31 16:33:24+00:00,2021-07-31 16:33:34+00:00,"{'page_views_last_week': 4, 'page_views_last_month': 14, 'page_views_total': 1189, 'page_views_last_week_log': 2.321928094887362, 'page_views_last_month_log': 3.9068905956085187, 'page_views_total_log': 10.216745858195306}",[],[],[],2017-01-12 10:18:07+00:00,"['active', 'areas', 'dog', 'dogs', 'pet', 'walking', 'zones']","[{'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'How-to-use_Applicable-standard-(URL)', 'value': 'http://standards.opencouncildata.org/#/dogzones'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/vzb2-a2kz
132,House Prices by Small Area - Transfer Year,r6ug-jmg3,[],"Median prices for dwellings/townhouses, and apartments by their year of settlement for the City of Melbourne by CLUE Small area.",2020-02-25T07:06:02.000Z,2017-05-12T06:04:07.000Z,2020-02-25 07:06:02+00:00,2017-05-12 06:07:26+00:00,"{'page_views_last_week': 5, 'page_views_last_month': 12, 'page_views_total': 1156, 'page_views_last_week_log': 2.584962500721156, 'page_views_last_month_log': 3.700439718141092, 'page_views_total_log': 10.176173149107491}","['transfer_year', 'type', 'transaction_count', 'small_area', 'median_price']","['Number', 'Text', 'Number', 'Text', 'Number']","['', '', '', '', '']",2017-05-12 06:09:09+00:00,"['census of land use and employment', 'growth city', 'house prices', 'property', 'residence']","[{'key': 'Quality_Update-frequency', 'value': 'Annually'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/r6ug-jmg3
133,Residential dwellings 2017 map,arvc-7u8d,['44kh-ty54'],"Data collected as part of the City of Melbourne's Census of Land Use and Employment (CLUE). The dwelling data is based on the Council's property rates database, using a simplified classification schema of Residential Apartment, House/Townhouse and Student Apartment. The count of dwellings per residential building is shown.
For more information about CLUE see http://www.melbourne.vic.gov.au/clue",2020-09-10T22:41:11.000Z,2017-03-17T00:34:40.000Z,2019-11-19 22:17:28+00:00,2020-09-10 22:41:11+00:00,"{'page_views_last_week': 4, 'page_views_last_month': 9, 'page_views_total': 1123, 'page_views_last_week_log': 2.321928094887362, 'page_views_last_month_log': 3.3219280948873626, 'page_views_total_log': 10.134426320220927}","['census_year', 'block_id', 'dwelling_number', 'pbs_property_id', 'dwelling_type', 'clue_small_area', 'bps_base_id', 'street_name']","['Number', 'Number', 'Number', 'Number', 'Text', 'Text', 'Number', 'Text']","['The CLUE census year refers to the year in which surveying was completed.', 'The Census area is divided into city blocks, each of which is identified by a unique block number. Blocks are primarily defined by major roads. There are around 606 blocks in the City of Melbourne.', 'Total number of dwellings in Property Id by Dwelling type', 'Property ID is the optional second tier in the property hierarchy, is an individual key use to identify when multiple buildings are located within the boundary of a Base Property ID.', 'Dwellings can be classified as a Residential Apartment, House/Townhouse or Student Apartment', 'CLUE small areas are composed of a group of city blocks, each of which is identified by a unique block number.', 'Base Property ID is an individual key use to identify each land parcel which is a space (not a street or road) capable of being the parent property of either a Building Property or an occupancy property, the base is the first tier in the property hierarchy.', 'Street Address of the Property ID']",2017-05-02 07:53:03+00:00,"['census of land use and employment', 'clue', 'clue2017', 'dwelling']","[{'key': 'Quality_Known-Issues', 'value': 'None'}, {'key': 'Quality_Update-frequency', 'value': 'Every two years'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Every two years'}]",https://data.melbourne.vic.gov.au/d/arvc-7u8d
134,Tree canopies 2015 (Urban Forest),rhc3-j4bg,[],Tree canopy within City of Melbourne mapped using 2015 aerial photos and LiDAR. The canopy polygons represent actual tree canopy extents on both private and public property across the city. he data is considered accurate for 2015. Changes in tree canopy are expected to have occurred since that time.,2020-02-23T23:56:05.000Z,2017-05-04T05:40:20.000Z,2020-02-23 23:56:05+00:00,2017-05-04 05:47:33+00:00,"{'page_views_last_week': 1, 'page_views_last_month': 9, 'page_views_total': 1118, 'page_views_last_week_log': 1.0, 'page_views_last_month_log': 3.3219280948873626, 'page_views_total_log': 10.127994320976393}",[],[],[],2017-05-04 05:40:20+00:00,"['green', 'heat island', 'trees', '#urbanforest', 'vegetation']","[{'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Static (not updated)'}]",https://data.melbourne.vic.gov.au/d/rhc3-j4bg
135,Former creeks in Melbourne (Urban Forest),rpdm-je7s,[],"This shapefile delineates historic creek lines digitised from the 1855 map Melbourne and its Suburbs"" compiled by James Kearney, draughtsman ; engraved by David Tulloch and James D. Brown. http://handle.slv.vic.gov.au/10381/89107. The Elizabeth Street, Swanston Street and Fitzroy Garden creek alignments are included based on descriptions in: 
 
 1. Presland, Gary. 2009. Place for Village. 
 
 2. Burchett, Winston. 1978. East Melbourne, 1837-1977.",2020-02-24T02:10:28.000Z,2014-07-09T04:58:19.000Z,2020-02-24 02:10:28+00:00,,"{'page_views_last_week': 4, 'page_views_last_month': 6, 'page_views_total': 1107, 'page_views_last_week_log': 2.321928094887362, 'page_views_last_month_log': 2.807354922057604, 'page_views_total_log': 10.113742166049189}",[],[],[],2014-07-09 04:58:20+00:00,"['historic', '#urbanforest', 'urban forest', 'water']","[{'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Static (not updated)'}]",https://data.melbourne.vic.gov.au/d/rpdm-je7s
136,Butterfly biodiversity survey 2017,kmtd-nvqr,[],"The Our City's Little Gems study observed butterfly biodiversity and flower-butterfly interactions in the City of Melbourne between January - March 2017. The Our City's Little Gems project is a direct extension of The Little Things that Run the City project that assessed the insect biodiversity of green spaces in the City of Melbourne. The Little Things that Run the City project did not originally feature butterflies, so the Our City’s Little Gems project was created to solely look at butterfly-flower interactions in our city. Please use the detailed legend for all species, environmental and location information. All species records are butterflies. All records have coordinates.",2020-02-25T07:04:28.000Z,2018-05-03T23:02:19.000Z,2020-02-25 07:04:28+00:00,2018-05-08 00:04:44+00:00,"{'page_views_last_week': 2, 'page_views_last_month': 7, 'page_views_total': 1080, 'page_views_last_week_log': 1.5849625007211563, 'page_views_last_month_log': 3.0, 'page_views_total_log': 10.07815080773465}","['ogyr', 'brow', 'csem', 'tabe', 'cato', 'gaca', 'pdem', 'pana', 'dpet', 'location_city', 'location_address', 'location_zip', 'location_state', 'lon', 'lat', 'vegwalktime', 'belo', 'esmi', 'dple', 'blue', 'win', 'win4', 'win3', 'win2', 'win1', 'hum', 'temp', 'vegfamily', 'vegspecies', 'sloc', 'vker', 'vite', 'date', 'time', 'walk', 'sur', 'prap', 'hesp', 'location', 'datetime', 'aand', 'per', 'site', 'gmac', 'jvil', 'paur']","['Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Text', 'Text', 'Text', 'Text', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Number', 'Text', 'Text', 'Number', 'Number', 'Number', 'Calendar date', 'Text', 'Number', 'Number', 'Number', 'Number', 'Point', 'Calendar date', 'Number', 'Number', 'Text', 'Number', 'Number', 'Number']","['Hypochrysops/Ogyris group\n', 'Brown buttefly group\n', 'Charaxes semipronius  \n', 'Tisiphone abeona  \n', 'Catopsilia group\n', 'Geitoneura acanthi \n', 'Papilio demoleus  \n', 'Papilio anactus \n', 'Danaus petilia \n', '', '', '', '', 'Longitude coordinate', 'Latitude coordinate', 'Time elapsed in a walk before detecting the given plant \n', 'Delias/Belonis group\n', 'Eurema smilax \n', 'Danaus plexippus \n', 'Little blue butterfly group\n', 'Wind speed - Average in m/s\n', 'Wind speed - Measurement 4 of 4 in m/s\n', 'Wind speed - Measurement 3 of 4 in m/s\n', 'Wind speed - Measurement 2 of 4 in m/s\n', 'Wind speed - Measurement 1 of 4 in m/s\n', 'Relative humidity %\n', 'Temperature in degrees C\n', 'Plant family\n', 'Plant species\n', 'Location within site varying between 1 and 9 depending on site area\n', 'Vanessa kershawi \n', 'Vanessa itea \n', 'Date the survey was conducted\n', 'Time the survey was conducted\n', 'Walk number 1,2,3 or 4\n', 'Observation survey conducted?\t\n0: No; 1: Yes - depending on stopping rule protocol\n', 'Pieris rapae \n', 'Hesperiidae group\n', 'The coordinate of the survey', 'The date and time the survey was conducted\n', 'Acraea andromacha \n', 'Observation period 1,2,3 or 4\n', 'Site name', 'Graphium macleayanum \n', 'Junonia villida \n', 'Paralucia aurifer  \n']",2018-05-08 00:12:07+00:00,"['biodiversity', 'butterflies', 'data', 'gardens', 'insects', 'nature', 'science', 'urban nature']","[{'key': 'Quality_Known-Issues', 'value': 'None'}, {'key': 'Quality_Data-quality-statement', 'value': 'This data was produced through a joint project with the City of Melbourne and RMIT University Researchers'}, {'key': 'Quality_Update-frequency', 'value': 'Annually'}, {'key': ""Quality_What's-included"", 'value': 'Data on butterfly biodiversity and flower-butterfly interactions'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'How-to-use_Linked-to', 'value': 'http://biodiversity.melbourne.vic.gov.au/insects/#/butterflies'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Annually'}]",https://data.melbourne.vic.gov.au/d/kmtd-nvqr
137,Sign Panels (Non Parking),fzjr-9nrn,[],"This dataset contains all the non parking sign panels, such as Stop signs, wayfinding, speed restrictions within the City of Melbourne. A sign panel is the part of the sign that display the information.

This dataset also contains information regarding disabled access, as referenced in the data by the use of DDA acronym.",2021-07-31T17:11:10.000Z,2018-01-02T03:31:17.000Z,2021-07-31 16:43:04+00:00,2021-07-31 17:11:10+00:00,"{'page_views_last_week': 6, 'page_views_last_month': 28, 'page_views_total': 1080, 'page_views_last_week_log': 2.807354922057604, 'page_views_last_month_log': 4.857980995127573, 'page_views_total_log': 10.07815080773465}","['asset_description', 'model_descr_lupvalue', 'model_no_lupvalue', 'panel_text', 'parent_sign_id', 'lat', 'lon', 'location', 'location_address', 'location_city', 'location_state', 'location_zip']","['Text', 'Text', 'Text', 'Text', 'Number', 'Number', 'Number', 'Point', 'Text', 'Text', 'Text', 'Text']","['Description of the asset.', 'The type of sign panel.', 'The model number of the sign panel.', 'The text the sign panel displays.', 'The parent sign id of the sign panel.', 'The latitude of the sign panel.', 'The longitude of the sign panel.', 'The latitude and longitude of the sign panel.', '', '', '', '']",2018-02-05 05:11:03+00:00,"['sign', 'panel', 'accessibility', 'assets']","[{'key': 'Data-management_Source-data-update-frequency', 'value': 'Weekly'}, {'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': 'Quality_Reliability-level', 'value': 'Useful with caveats'}]",https://data.melbourne.vic.gov.au/d/fzjr-9nrn
138,Outdoor non-smoking zones,23k2-cnm2,[],The City of Melbourne has designated outdoor no smoking areas which are above and beyond those areas designated in the tobacco act. This dataset displays the outdoor areas which the City of Melbourne has the authority to designate as no smoking areas,2021-07-31T16:35:44.000Z,2015-06-23T22:27:47.000Z,2021-07-31 16:35:35+00:00,2021-07-31 16:35:44+00:00,"{'page_views_last_week': 7, 'page_views_last_month': 12, 'page_views_total': 1042, 'page_views_last_week_log': 3.0, 'page_views_last_month_log': 3.700439718141092, 'page_views_total_log': 10.026523442519766}",[],[],[],2015-06-23 22:27:53+00:00,"['entrepreneur', 'health', 'no smoking', 'outdoor', 'zones']","[{'key': ""Quality_What's-included"", 'value': 'All data has been included'}, {'key': 'Quality_Update-frequency', 'value': 'Daily'}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'Quality_Data-quality-statement', 'value': 'This dataset is not as meaningful as could be, we are continually working on improving this dataset and value your feedback'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Daily'}]",https://data.melbourne.vic.gov.au/d/23k2-cnm2
139,Tree canopies 2019,tq3k-d7n7,[],"This dataset contains spatial polygons which represent tree canopy areas across the City of Melbourne. It can be easily mapped using the geometry column. 

Tree canopy polygons have been derived by ArborCarbon from high-resolution airborne multispectral imagery. ArborCarbon collected this imagery using the ArborCam, a unique 11-band airborne multispectral camera system optimized for the accurate detection of vegetation and subtle changes in vegetation condition. 

The high-resolution airborne imagery datasets were geometrically corrected and orthorectified using the City of Melbourne’s publicly available 2018 aerial imagery and a Digital Terrain Model supplied by the City. A Digital Surface Model was generated from the acquired imagery for the full extent of the City, enabling the stratification of vegetation into a range of height categories. All vegetation >3m above the ground was classified as canopy (excluding vegetation on building rooftops).",2019-12-02T02:01:42.000Z,2019-10-31T23:46:27.000Z,2019-12-02 02:01:42+00:00,2019-12-01 21:31:05+00:00,"{'page_views_last_week': 28, 'page_views_last_month': 37, 'page_views_total': 1019, 'page_views_last_week_log': 4.857980995127573, 'page_views_last_month_log': 5.247927513443585, 'page_views_total_log': 9.994353436858859}","['id', 'the_geom']","['Number', 'Polygon']","['An arbitrary value', 'Geometry of the Tree Canopy']",2019-11-26 22:56:44+00:00,"['greening', 'plant', 'tree', 'urban forest', 'vegetation', 'vegetation health']","[{'key': 'Quality_Known-Issues', 'value': 'None'}, {'key': 'Quality_Data-quality-statement', 'value': 'Data has been quality assured '}, {'key': 'Quality_Update-frequency', 'value': 'Static (not updated)'}, {'key': ""Quality_What's-included"", 'value': 'Polygons representing tree canopy cover >3m throughout the City of melbourne municipal area. '}, {'key': 'Quality_Reliability-level', 'value': 'Reliable and timely'}, {'key': 'How-to-use_Further-information', 'value': 'http://www.arborcarbon.com.au/'}, {'key': 'Data-management_Source-data-update-frequency', 'value': 'Static (not updated)'}]",https://data.melbourne.vic.gov.au/d/tq3k-d7n7
