,pay_stay_zone,street,between_street_1,between_street_2,street_segment_id,db_read_time
242,30001257,LANSDOWNE STREET,CATHEDRAL PLACE,ALBERT STREET,21850,2021-08-02 22:24:15.486916
243,30001258,LANSDOWNE STREET,VICTORIA PARADE,ALBERT STREET,20896,2021-08-02 22:24:15.486916
244,30001259,LANSDOWNE STREET,CATHEDRAL PLACE,ST ANDREWS PLACE,21857,2021-08-02 22:24:15.486916
245,30001260,LANSDOWNE STREET,ALBERT STREET,VICTORIA PARADE,20896,2021-08-02 22:24:15.486916
246,30001256,LANSDOWNE STREET,WELLINGTON PARADE,ST ANDREWS PLACE,21859,2021-08-02 22:24:15.486916
247,30001262,LANSDOWNE STREET,ST ANDREWS PLACE,WELLINGTON PARADE,21859,2021-08-02 22:24:15.486916
248,30001263,LANSDOWNE STREET,CATHEDRAL PLACE,ST ANDREWS PLACE,21850,2021-08-02 22:24:15.486916
249,30001264,LANSDOWNE STREET,ST ANDREWS PLACE,WELLINGTON PARADE,21859,2021-08-02 22:24:15.486916
250,30001265,NICHOLSON STREET,SPRING STREET,ALBERT STREET,21553,2021-08-02 22:24:15.486916
251,30001266,NICHOLSON STREET,ALBERT STREET,VICTORIA STREET,21554,2021-08-02 22:24:15.486916
252,30001268,NICHOLSON STREET,VICTORIA STREET,ALBERT STREET,21554,2021-08-02 22:24:15.486916
253,30001269,PARLIAMENT PLACE,ST ANDREWS PLACE,GISBORNE STREET,21852,2021-08-02 22:24:15.486916
254,30001270,POWLETT STREET,GREY STREET,ALBERT STREET,21863,2021-08-02 22:24:15.486916
255,30001271,SIMPSON STREET,GREY STREET,ALBERT STREET,21867,2021-08-02 22:24:15.486916
256,30001272,SPRING STREET,FLINDERS STREET,FLINDERS LANE,20196,2021-08-02 22:24:15.486916
257,30001278,ST ANDREWS PLACE,LANSDOWNE STREET,MACARTHUR STREET,21855,2021-08-02 22:24:15.486916
258,30001279,ST ANDREWS PLACE,MACARTHUR STREET,LANSDOWNE STREET,21855,2021-08-02 22:24:15.486916
259,30001280,ST ANDREWS PLACE,MACARTHUR STREET,LANSDOWNE STREET,21855,2021-08-02 22:24:15.486916
260,30001282,BRENTANI WAY,VILLAGE STREET,GEORGIANA STREET,22895,2021-08-02 22:24:15.486916
261,30001284,VICTORIA PARADE,NICHOLSON STREET,GISBORNE STREET,21560,2021-08-02 22:24:15.486916
262,30001285,VICTORIA PARADE,GISBORNE STREET,NICHOLSON STREET,21560,2021-08-02 22:24:15.486916
263,30001286,VICTORIA PARADE,CLARENDON STREET,EADES STREET,21594,2021-08-02 22:24:15.486916
264,30001287,VICTORIA PARADE,HODDLE STREET,SIMPSON STREET,22000,2021-08-02 22:24:15.486916
265,30001288,VICTORIA PARADE,MORRISON PLACE,LANSDOWNE STREET,21566,2021-08-02 22:24:15.486916
266,30001289,VICTORIA PARADE,EADES STREET,LANSDOWNE STREET,21595,2021-08-02 22:24:15.486916
267,30001290,VICTORIA PARADE,NICHOLSON STREET,SPRING STREET,21596,2021-08-02 22:24:15.486916
268,30001296,VICTORIA PARADE,LANSDOWNE STREET,EADES STREET,21595,2021-08-02 22:24:15.486916
269,30001297,VICTORIA PARADE,SPRING STREET,NICHOLSON STREET,21596,2021-08-02 22:24:15.486916
270,30001298,WELLINGTON PARADE,CLARENDON STREET,JOLIMONT ROAD,21963,2021-08-02 22:24:15.486916
271,30001299,WELLINGTON PARADE,LANSDOWNE STREET,SPRING STREET,21967,2021-08-02 22:24:15.486916
272,30001300,WELLINGTON PARADE SOUTH,WELLINGTON CRESCENT,FLINDERS STREET,22630,2021-08-02 22:24:15.486916
273,30001301,WELLINGTON PARADE SOUTH,JOLIMONT ROAD,WELLINGTON CRESCENT,21968,2021-08-02 22:24:15.486916
274,30001302,JOLIMONT TERRACE,WELLINGTON PARADE SOUTH,JOLIMONT STREET,21982,2021-08-02 22:24:15.486916
275,30001303,DALLAS BROOKS DRIVE,BIRDWOOD AVENUE,DOMAIN ROAD,22469,2021-08-02 22:24:15.486916
276,30001304,WELLINGTON PARADE,JOLIMONT ROAD,CLARENDON STREET,21963,2021-08-02 22:24:15.486916
277,30001305,WELLINGTON PARADE SOUTH,AGNES STREET,JOLIMONT ROAD,22631,2021-08-02 22:24:15.486916
278,30001306,A'BECKETT STREET,ELIZABETH STREET,QUEEN STREET,21649,2021-08-02 22:24:15.486916
279,30001307,A'BECKETT STREET,QUEEN STREET,ELIZABETH STREET,21649,2021-08-02 22:24:15.486916
280,30001308,A'BECKETT STREET,WILLS STREET,QUEEN STREET,21524,2021-08-02 22:24:15.486916
281,30001309,A'BECKETT STREET,QUEEN STREET,ELIZABETH STREET,21649,2021-08-02 22:24:15.486916
282,30001310,A'BECKETT STREET,WILLS STREET,WILLIAM STREET,22653,2021-08-02 22:24:15.486916
283,30001311,A'BECKETT STREET,QUEEN STREET,WILLIAM STREET,16000,2021-08-02 22:24:15.486916
284,30001312,A'BECKETT STREET,ELIZABETH STREET,SWANSTON STREET,21643,2021-08-02 22:24:15.486916
285,30001313,A'BECKETT STREET,SWANSTON STREET,ELIZABETH STREET,21643,2021-08-02 22:24:15.486916
286,30001314,ELIZABETH STREET,FRANKLIN STREET,THERRY STREET,21631,2021-08-02 22:24:15.486916
287,30001315,A'BECKETT STREET,SWANSTON STREET,ELIZABETH STREET,21643,2021-08-02 22:24:15.486916
288,30001316,ALEXANDRA AVENUE,SWAN STREET BRIDGE,ANDERSON STREET,22492,2021-08-02 22:24:15.486916
289,30001317,ALEXANDRA AVENUE,ANDERSON STREET,SWAN STREET BRIDGE,22492,2021-08-02 22:24:15.486916
290,30001318,BERKELEY STREET,PELHAM STREET,GRATTAN STREET,20474,2021-08-02 22:24:15.486916
291,30001319,BERKELEY STREET,LEICESTER STREET,QUEENSBERRY STREET,20456,2021-08-02 22:24:15.486916
292,30001320,BERKELEY STREET,GRATTAN STREET,PELHAM STREET,20474,2021-08-02 22:24:15.486916
293,30001322,BIRDWOOD AVENUE,DOMAIN ROAD,DALLAS BROOKS DRIVE,22706,2021-08-02 22:24:15.486916
294,30001323,BIRDWOOD AVENUE,DALLAS BROOKS DRIVE,DOMAIN ROAD,22706,2021-08-02 22:24:15.486916
295,30001324,BIRDWOOD AVENUE,DALLAS BROOKS DRIVE,ANZAC AVENUE,22198,2021-08-02 22:24:15.486916
296,30001325,BIRDWOOD AVENUE,ANZAC AVENUE,DALLAS BROOKS DRIVE,22198,2021-08-02 22:24:15.486916
297,30001326,BIRDWOOD AVENUE,DOMAIN ROAD,DALLAS BROOKS DRIVE,22706,2021-08-02 22:24:15.486916
298,30001327,BIRDWOOD AVENUE,DALLAS BROOKS DRIVE,DOMAIN ROAD,22706,2021-08-02 22:24:15.486916
299,30001328,BIRDWOOD AVENUE,DALLAS BROOKS DRIVE,ANZAC AVENUE,22198,2021-08-02 22:24:15.486916
300,30001329,BIRDWOOD AVENUE,ANZAC AVENUE,DALLAS BROOKS DRIVE,22198,2021-08-02 22:24:15.486916
301,30001330,BOATHOUSE DRIVE,ALEXANDRA AVENUE,ST KILDA ROAD,22188,2021-08-02 22:24:15.486916
302,30001331,BOND STREET,FLINDERS STREET,FLINDERS LANE,20394,2021-08-02 22:24:15.486916
303,30001332,BOURKE STREET,QUEEN STREET,WILLIAM STREET,20086,2021-08-02 22:24:15.486916
304,30001333,BOURKE STREET,EXHIBITION STREET,RUSSELL STREET,20078,2021-08-02 22:24:15.486916
305,30001334,BOURKE STREET,RUSSELL STREET,EXHIBITION STREET,20078,2021-08-02 22:24:15.486916
306,30001335,BOURKE STREET,KING STREET,SPENCER STREET,20090,2021-08-02 22:24:15.486916
307,30001336,BOURKE STREET,KING STREET,WILLIAM STREET,20088,2021-08-02 22:24:15.486916
308,30001337,BOURKE STREET,SPENCER STREET,KING STREET,20090,2021-08-02 22:24:15.486916
309,30001338,BOURKE STREET,WILLIAM STREET,QUEEN STREET,20086,2021-08-02 22:24:15.486916
310,30001339,BOURKE STREET,WILLIAM STREET,QUEEN STREET,20086,2021-08-02 22:24:15.486916
311,30001341,FLINDERS LANE,ELIZABETH STREET,QUEEN STREET,20129,2021-08-02 22:24:15.486916
312,30001342,BOURKE STREET,SPENCER STREET,KING STREET,20090,2021-08-02 22:24:15.486916
313,30001343,BOURKE STREET,SPRING STREET,EXHIBITION STREET,20065,2021-08-02 22:24:15.486916
314,30001344,BOURKE STREET,EXHIBITION STREET,SPRING STREET,20065,2021-08-02 22:24:15.486916
315,30001345,BOURKE STREET,WILLIAM STREET,KING STREET,20088,2021-08-02 22:24:15.486916
316,30001346,BOURKE STREET,KING STREET,WILLIAM STREET,20088,2021-08-02 22:24:15.486916
317,30001347,BOURKE STREET,ELIZABETH STREET,SWANSTON STREET,20082,2021-08-02 22:24:15.486916
318,30001348,BROMBY STREET,DOMAIN STREET,ST KILDA ROAD,15515,2021-08-02 22:24:15.486916
319,30001351,COLLINS STREET,ELIZABETH STREET,QUEEN STREET,20114,2021-08-02 22:24:15.486916
320,30001352,COLLINS STREET,KING STREET,SPENCER STREET,20120,2021-08-02 22:24:15.486916
321,30001353,COLLINS STREET,WILLIAM STREET,KING STREET,20118,2021-08-02 22:24:15.486916
322,30001355,COLLINS STREET,QUEEN STREET,MARKET STREET,20116,2021-08-02 22:24:15.486916
323,30001356,COLLINS STREET,RUSSELL STREET,SWANSTON STREET,20110,2021-08-02 22:24:15.486916
324,30001357,COLLINS STREET,SWANSTON STREET,RUSSELL STREET,20110,2021-08-02 22:24:15.486916
325,30001358,COLLINS STREET,RUSSELL STREET,EXHIBITION STREET,20108,2021-08-02 22:24:15.486916
326,30001359,COLLINS STREET,SWANSTON STREET,ELIZABETH STREET,20112,2021-08-02 22:24:15.486916
327,30001360,COLLINS STREET,SPRING STREET,EXHIBITION STREET,20106,2021-08-02 22:24:15.486916
328,30001361,COLLINS STREET,SWANSTON STREET,RUSSELL STREET,20110,2021-08-02 22:24:15.486916
329,30001364,COMMERCIAL ROAD,PUNT ROAD,ST KILDA ROAD,22308,2021-08-02 22:24:15.486916
330,30001365,COMMERCIAL ROAD,PUNT ROAD,ST KILDA ROAD,22308,2021-08-02 22:24:15.486916
331,30001366,COMMERCIAL ROAD,PUNT ROAD,ST KILDA ROAD,22308,2021-08-02 22:24:15.486916
332,30001367,COMMERCIAL ROAD,ST KILDA ROAD,PUNT ROAD,22308,2021-08-02 22:24:15.486916
333,30001368,COMMERCIAL ROAD,ST KILDA ROAD,PUNT ROAD,22308,2021-08-02 22:24:15.486916
334,30001369,DALLAS BROOKS DRIVE,DOMAIN ROAD,BIRDWOOD AVENUE,22469,2021-08-02 22:24:15.486916
335,30001370,DOMAIN ROAD,DALLAS BROOKS DRIVE,DOMAIN STREET,22223,2021-08-02 22:24:15.486916
336,30001371,DOMAIN ROAD,DOMAIN STREET,HOPE STREET,22225,2021-08-02 22:24:15.486916
337,30001372,DOMAIN ROAD,DALLAS BROOKS DRIVE,ST KILDA ROAD,22708,2021-08-02 22:24:15.486916
338,30001373,DOMAIN ROAD,DOMAIN STREET,DALLAS BROOKS DRIVE,22223,2021-08-02 22:24:15.486916
339,30001374,DOMAIN ROAD,ST KILDA ROAD,DALLAS BROOKS DRIVE,22708,2021-08-02 22:24:15.486916
340,30001375,DOMAIN ROAD,DOMAIN STREET,DALLAS BROOKS DRIVE,22223,2021-08-02 22:24:15.486916
341,30001376,DOMAIN ROAD,ST KILDA ROAD,DALLAS BROOKS DRIVE,22708,2021-08-02 22:24:15.486916
342,30001377,DOWNIE STREET,FLINDERS STREET,FLINDERS LANE,20431,2021-08-02 22:24:15.486916
343,30001378,DOWNIE STREET,FLINDERS LANE,FLINDERS STREET,20431,2021-08-02 22:24:15.486916
344,30001381,ELIZABETH STREET,FLINDERS LANE,COLLINS STREET,20163,2021-08-02 22:24:15.486916
345,30001382,ELIZABETH STREET,FLINDERS LANE,FLINDERS STREET,20162,2021-08-02 22:24:15.486916
346,30001383,ELIZABETH STREET,FRANKLIN STREET,THERRY STREET,21631,2021-08-02 22:24:15.486916
347,30001384,ELIZABETH STREET,FRANKLIN STREET,A'BECKETT STREET,21639,2021-08-02 22:24:15.486916
348,30001385,ELIZABETH STREET,THERRY STREET,VICTORIA STREET,21628,2021-08-02 22:24:15.486916
349,30001386,ELIZABETH STREET,GRATTAN STREET,FLEMINGTON ROAD,21551,2021-08-02 22:24:15.486916
350,30001393,ELIZABETH STREET,PELHAM STREET,QUEENSBERRY STREET,21115,2021-08-02 22:24:15.486916
351,30001394,ELIZABETH STREET,VICTORIA STREET,QUEENSBERRY STREET,21113,2021-08-02 22:24:15.486916
352,30001401,EXHIBITION STREET,FLINDERS LANE,COLLINS STREET,20139,2021-08-02 22:24:15.486916
353,30001402,EXHIBITION STREET,COLLINS STREET,FLINDERS LANE,20139,2021-08-02 22:24:15.486916
354,30001403,EXHIBITION STREET,FLINDERS LANE,COLLINS STREET,20139,2021-08-02 22:24:15.486916
355,30001404,EXHIBITION STREET,FLINDERS LANE,FLINDERS STREET,20138,2021-08-02 22:24:15.486916
356,30001408,EXHIBITION STREET,LA TROBE STREET,VICTORIA STREET,21600,2021-08-02 22:24:15.486916
357,30001417,BOURKE STREET,QUEEN STREET,WILLIAM STREET,20086,2021-08-02 22:24:15.486916
358,30001418,FLINDERS LANE,ELIZABETH STREET,QUEEN STREET,20129,2021-08-02 22:24:15.486916
359,30001419,FLINDERS LANE,QUEEN STREET,ELIZABETH STREET,20129,2021-08-02 22:24:15.486916
360,30001420,FLINDERS LANE,ELIZABETH STREET,QUEEN STREET,20129,2021-08-02 22:24:15.486916
361,30001421,FLINDERS LANE,KING STREET,SPENCER STREET,20137,2021-08-02 22:24:15.486916
362,30001422,FLINDERS LANE,KING STREET,SPENCER STREET,20137,2021-08-02 22:24:15.486916
363,30001424,FLINDERS LANE,KING STREET,WILLIAM STREET,20135,2021-08-02 22:24:15.486916
364,30001425,FLINDERS LANE,WILLIAM STREET,KING STREET,20135,2021-08-02 22:24:15.486916
365,30001426,FLINDERS LANE,MARKET STREET,WILLIAM STREET,20133,2021-08-02 22:24:15.486916
366,30001427,FLINDERS LANE,WILLIAM STREET,MARKET STREET,20133,2021-08-02 22:24:15.486916
367,30001429,FLINDERS LANE,QUEEN STREET,MARKET STREET,20131,2021-08-02 22:24:15.486916
368,30001430,FLINDERS LANE,QUEEN STREET,WILLIAM STREET,15001,2021-08-02 22:24:15.486916
369,30001431,FLINDERS LANE,SPRING STREET,EXHIBITION STREET,20121,2021-08-02 22:24:15.486916
370,30001432,FLINDERS LANE,WILLIAM STREET,KING STREET,20135,2021-08-02 22:24:15.486916
371,30001433,FLINDERS STREET,SPENCER STREET,KING STREET,20224,2021-08-02 22:24:15.486916
372,30001434,FLINDERS STREET,ELIZABETH STREET,QUEEN STREET,20216,2021-08-02 22:24:15.486916
373,30001435,FLINDERS STREET,QUEEN STREET,ELIZABETH STREET,20216,2021-08-02 22:24:15.486916
374,30001436,FLINDERS STREET,EXHIBITION STREET,RUSSELL STREET,20210,2021-08-02 22:24:15.486916
375,30001437,FLINDERS STREET,EXHIBITION STREET,SPRING STREET,20208,2021-08-02 22:24:15.486916
376,30001438,FLINDERS STREET,KING STREET,SPENCER STREET,20224,2021-08-02 22:24:15.486916
377,30001439,FLINDERS STREET,SPENCER STREET,KING STREET,20224,2021-08-02 22:24:15.486916
378,30001440,FLINDERS STREET,SPENCER STREET,KING STREET,20224,2021-08-02 22:24:15.486916
379,30001441,FLINDERS STREET,SPRING STREET,EXHIBITION STREET,20208,2021-08-02 22:24:15.486916
380,30001442,FRANCIS STREET,KING STREET,SPENCER STREET,20433,2021-08-02 22:24:15.486916
381,30001443,FRANCIS STREET,SPENCER STREET,KING STREET,20433,2021-08-02 22:24:15.486916
382,30001444,FRANCIS STREET,KING STREET,SPENCER STREET,20433,2021-08-02 22:24:15.486916
383,30001445,FRANCIS STREET,SPENCER STREET,KING STREET,20433,2021-08-02 22:24:15.486916
384,30001446,FRANCIS STREET,KING STREET,SPENCER STREET,20433,2021-08-02 22:24:15.486916
385,30001447,GRATTAN STREET,FLEMINGTON ROAD,ELIZABETH STREET,21552,2021-08-02 22:24:15.486916
386,30001448,FRANKLIN STREET,ELIZABETH STREET,QUEEN STREET,21634,2021-08-02 22:24:15.486916
387,30001449,FRANKLIN STREET,QUEEN STREET,ELIZABETH STREET,21634,2021-08-02 22:24:15.486916
388,30001453,FRANKLIN STREET,SWANSTON STREET,ELIZABETH STREET,21633,2021-08-02 22:24:15.486916
389,30001454,FRANKLIN STREET,SWANSTON STREET,VICTORIA STREET,21622,2021-08-02 22:24:15.486916
390,30001455,FRANKLIN STREET,SWANSTON STREET,ELIZABETH STREET,21633,2021-08-02 22:24:15.486916
391,30001456,FRANKLIN STREET,ELIZABETH STREET,SWANSTON STREET,21633,2021-08-02 22:24:15.486916
392,30001457,FRANKLIN STREET,SWANSTON STREET,ELIZABETH STREET,21633,2021-08-02 22:24:15.486916
393,30001458,FRANKLIN STREET,SWANSTON STREET,ELIZABETH STREET,21633,2021-08-02 22:24:15.486916
394,30001460,FRANKLIN STREET,SWANSTON STREET,ELIZABETH STREET,21633,2021-08-02 22:24:15.486916
395,30001461,ELIZABETH STREET,FRANKLIN STREET,A'BECKETT STREET,21639,2021-08-02 22:24:15.486916
396,30001462,FRANKLIN STREET,VICTORIA STREET,SWANSTON STREET,21622,2021-08-02 22:24:15.486916
397,30001463,FRANKLIN STREET,VICTORIA STREET,SWANSTON STREET,21622,2021-08-02 22:24:15.486916
398,30001464,FRANKLIN STREET,VICTORIA STREET,SWANSTON STREET,21622,2021-08-02 22:24:15.486916
399,30001465,FRANKLIN STREET,WILLIAM STREET,QUEEN STREET,21527,2021-08-02 22:24:15.486916
400,30001466,GOVERNMENT HOUSE DRIVE,ST KILDA ROAD,BIRDWOOD AVENUE,22196,2021-08-02 22:24:15.486916
401,30001467,GRATTAN STREET,BERKELEY STREET,ROYAL PARADE,20851,2021-08-02 22:24:15.486916
402,30001468,HIGH STREET,ST KILDA ROAD,PUNT ROAD,22479,2021-08-02 22:24:15.486916
403,30001469,HIGH STREET,PUNT ROAD,ST KILDA ROAD,22479,2021-08-02 22:24:15.486916
404,30001474,KING STREET,COLLINS STREET,FLINDERS LANE,20189,2021-08-02 22:24:15.486916
405,30001476,KING STREET,COLLINS STREET,FLINDERS LANE,20189,2021-08-02 22:24:15.486916
406,30001478,KING STREET,FLINDERS LANE,COLLINS STREET,20189,2021-08-02 22:24:15.486916
407,30001479,KING STREET,FLINDERS STREET,FLINDERS LANE,20188,2021-08-02 22:24:15.486916
408,30001492,LA TROBE STREET,ELIZABETH STREET,QUEEN STREET,20024,2021-08-02 22:24:15.486916
409,30001493,LA TROBE STREET,QUEEN STREET,ELIZABETH STREET,20024,2021-08-02 22:24:15.486916
410,30001495,LA TROBE STREET,ELIZABETH STREET,SWANSTON STREET,20022,2021-08-02 22:24:15.486916
411,30001496,LA TROBE STREET,EXHIBITION STREET,RUSSELL STREET,20018,2021-08-02 22:24:15.486916
412,30001497,LA TROBE STREET,RUSSELL STREET,EXHIBITION STREET,20018,2021-08-02 22:24:15.486916
413,30001498,LA TROBE STREET,KING STREET,SPENCER STREET,20030,2021-08-02 22:24:15.486916
414,30001499,LA TROBE STREET,QUEEN STREET,WILLIAM STREET,15003,2021-08-02 22:24:15.486916
415,30001500,LA TROBE STREET,QUEEN STREET,WILLS STREET,20026,2021-08-02 22:24:15.486916
416,30001501,LA TROBE STREET,RUSSELL STREET,SWANSTON STREET,20020,2021-08-02 22:24:15.486916
417,30001502,LA TROBE STREET,RUSSELL STREET,EXHIBITION STREET,20018,2021-08-02 22:24:15.486916
418,30001504,LA TROBE STREET,WILLIAM STREET,QUEEN STREET,15003,2021-08-02 22:24:15.486916
419,30001505,LA TROBE STREET,EXHIBITION STREET ,SPRING STREET ,15002,2021-08-02 22:24:15.486916
420,30001506,LA TROBE STREET,SPENCER STREET,KING STREET,20030,2021-08-02 22:24:15.486916
421,30001507,LA TROBE STREET,QUEEN STREET,WILLS STREET,20026,2021-08-02 22:24:15.486916
422,30001508,LA TROBE STREET,SWANSTON STREET,RUSSELL STREET,20020,2021-08-02 22:24:15.486916
423,30001509,LA TROBE STREET,VICTORIA STREET,EXHIBITION STREET,20016,2021-08-02 22:24:15.486916
424,30001511,LA TROBE STREET,WILLIAM STREET,WILLS STREET,22615,2021-08-02 22:24:15.486916
425,30001511,LA TROBE STREET,WILLS STREET,WILLIAM STREET,22615,2021-08-02 22:24:15.486916
426,30001512,LEICESTER STREET,VICTORIA STREET,BERKELEY STREET,20453,2021-08-02 22:24:15.486916
427,30001513,LINLITHGOW AVENUE,ST KILDA ROAD,GOVERNMENT HOUSE DRIVE,22089,2021-08-02 22:24:15.486916
428,30001514,LINLITHGOW AVENUE,ST KILDA ROAD,ALEXANDRA AVENUE,22696,2021-08-02 22:24:15.486916
429,30001520,ELIZABETH STREET,QUEENSBERRY STREET,VICTORIA STREET,21113,2021-08-02 22:24:15.486916
430,30001554,LONSDALE STREET,ELIZABETH STREET,QUEEN STREET,20009,2021-08-02 22:24:15.486916
431,30001555,LONSDALE STREET,EXHIBITION STREET,RUSSELL STREET,20003,2021-08-02 22:24:15.486916
432,30001556,LONSDALE STREET,EXHIBITION STREET,RUSSELL STREET,20003,2021-08-02 22:24:15.486916
433,30001558,LONSDALE STREET,EXHIBITION STREET,RUSSELL STREET,20003,2021-08-02 22:24:15.486916
434,30001562,LONSDALE STREET,QUEEN STREET,WILLIAM STREET,20011,2021-08-02 22:24:15.486916
435,30001566,LONSDALE STREET,QUEEN STREET,WILLIAM STREET,20011,2021-08-02 22:24:15.486916
436,30001567,LONSDALE STREET,QUEEN STREET,WILLIAM STREET,20011,2021-08-02 22:24:15.486916
437,30001568,LONSDALE STREET,RUSSELL STREET,EXHIBITION STREET,20003,2021-08-02 22:24:15.486916
438,30001569,LONSDALE STREET,RUSSELL STREET,SWANSTON STREET,20005,2021-08-02 22:24:15.486916
439,30001570,LONSDALE STREET,SPRING STREET,EXHIBITION STREET,20001,2021-08-02 22:24:15.486916
440,30001571,LONSDALE STREET,SPRING STREET,EXHIBITION STREET,20001,2021-08-02 22:24:15.486916
441,30001572,LONSDALE STREET,SPRING STREET,EXHIBITION STREET,20001,2021-08-02 22:24:15.486916
442,30001573,LONSDALE STREET,SPRING STREET,EXHIBITION STREET,20001,2021-08-02 22:24:15.486916
443,30001574,LONSDALE STREET,WILLIAM STREET,KING STREET,20013,2021-08-02 22:24:15.486916
444,30001575,LONSDALE STREET,WILLIAM STREET,KING STREET,20013,2021-08-02 22:24:15.486916
445,30001576,LONSDALE STREET,WILLIAM STREET,KING STREET,20013,2021-08-02 22:24:15.486916
446,30001577,LONSDALE STREET,KING STREET,WILLIAM STREET,20013,2021-08-02 22:24:15.486916
447,30001578,LONSDALE STREET,SPENCER STREET,KING STREET,20014,2021-08-02 22:24:15.486916
448,30001580,MACKENZIE STREET,RUSSELL STREET,VICTORIA STREET,21609,2021-08-02 22:24:15.486916
449,30001581,MACKENZIE STREET,VICTORIA STREET,RUSSELL STREET,21609,2021-08-02 22:24:15.486916
450,30001582,MARKET STREET,FLINDERS LANE,COLLINS STREET,20180,2021-08-02 22:24:15.486916
451,30001583,MARKET STREET,FLINDERS STREET,FLINDERS LANE,20179,2021-08-02 22:24:15.486916
452,30001584,WILLIAM STREET,A'BECKETT STREET,FRANKLIN STREET,21529,2021-08-02 22:24:15.486916
453,30001585,MOUBRAY STREET,PUNT ROAD,ST KILDA ROAD,22311,2021-08-02 22:24:15.486916
454,30001586,MOUBRAY STREET,PUNT ROAD,ST KILDA ROAD,22311,2021-08-02 22:24:15.486916
455,30001587,MOUBRAY STREET,PUNT ROAD,ST KILDA ROAD,22311,2021-08-02 22:24:15.486916
456,30001588,O'CONNELL STREET,QUEENSBERRY STREET,PEEL STREET,21116,2021-08-02 22:24:15.486916
457,30001589,PELHAM STREET,BERKELEY STREET,ELIZABETH STREET,22502,2021-08-02 22:24:15.486916
458,30001590,PUNT ROAD,COMMERCIAL ROAD,MOUBRAY STREET,22481,2021-08-02 22:24:15.486916
459,30001591,PUNT ROAD,HIGH STREET,MOUBRAY STREET,22480,2021-08-02 22:24:15.486916
460,30001592,PUNT ROAD,MOUBRAY STREET,COMMERCIAL ROAD,22481,2021-08-02 22:24:15.486916
461,30001593,QUEEN STREET,A'BECKETT STREET,FRANKLIN STREET,21636,2021-08-02 22:24:15.486916
462,30001596,QUEEN STREET,FLINDERS LANE,COLLINS STREET,20171,2021-08-02 22:24:15.486916
463,30001597,QUEEN STREET,FLINDERS STREET,FLINDERS LANE,20170,2021-08-02 22:24:15.486916
464,30001598,QUEEN STREET,FLINDERS STREET,FLINDERS LANE,20170,2021-08-02 22:24:15.486916
465,30001599,QUEEN STREET,FLINDERS STREET,FLINDERS LANE,20170,2021-08-02 22:24:15.486916
466,30001600,QUEEN STREET,FRANKLIN STREET,A'BECKETT STREET,21636,2021-08-02 22:24:15.486916
467,30001601,QUEEN STREET,FRANKLIN STREET,THERRY STREET,21630,2021-08-02 22:24:15.486916
468,30001601,QUEEN STREET,VICTORIA STREET,THERRY STREET,23247,2021-08-02 22:24:15.486916
469,30001603,LONSDALE STREET,SWANSTON STREET,ELIZABETH STREET,20007,2021-08-02 22:24:15.486916
470,30001604,QUEEN STREET,LA TROBE STREET,A'BECKETT STREET,21523,2021-08-02 22:24:15.486916
471,30001616,QUEEN STREET,THERRY STREET,VICTORIA STREET,23247,2021-08-02 22:24:15.486916
472,30001617,QUEEN STREET,THERRY STREET,VICTORIA STREET,23247,2021-08-02 22:24:15.486916
473,30001618,QUEEN STREET,THERRY STREET,VICTORIA STREET,23247,2021-08-02 22:24:15.486916
474,30001621,QUEENSBERRY STREET,BERKELEY STREET,ELIZABETH STREET,20864,2021-08-02 22:24:15.486916
475,30001623,QUEENSBERRY STREET,ELIZABETH STREET,O'CONNELL STREET,20923,2021-08-02 22:24:15.486916
476,30001631,RUSSELL STREET,FLINDERS STREET,FLINDERS LANE,20146,2021-08-02 22:24:15.486916
477,30001632,RUSSELL STREET,MACKENZIE STREET,VICTORIA STREET,21615,2021-08-02 22:24:15.486916
478,30001636,RUSSELL STREET,VICTORIA STREET,LA TROBE STREET,16014,2021-08-02 22:24:15.486916
479,30001641,RUSSELL STREET,MACKENZIE STREET,LA TROBE STREET,21616,2021-08-02 22:24:15.486916
480,30001643,SPENCER STREET,COLLINS STREET,FLINDERS LANE,20069,2021-08-02 22:24:15.486916
481,30001650,ST KILDA ROAD,ALEXANDRA AVENUE,SOUTHBANK BOULEVARD,16510,2021-08-02 22:24:15.486916
482,30001651,ST KILDA ROAD,ANZAC AVENUE,COVENTRY STREET,22704,2021-08-02 22:24:15.486916
483,30001652,ST KILDA ROAD,DORCAS STREET,DOMAIN ROAD,22467,2021-08-02 22:24:15.486916
484,30001653,ST KILDA ROAD,SLATER STREET,ARMADALE STREET,22474,2021-08-02 22:24:15.486916
485,30001654,ST KILDA ROAD,ARMADALE STREET,SLATER STREET,22474,2021-08-02 22:24:15.486916
486,30001655,ST KILDA ROAD,COMMERCIAL ROAD,MOUBRAY STREET,22477,2021-08-02 22:24:15.486916
487,30001656,ST KILDA ROAD,COMMERCIAL ROAD,ARMADALE STREET,22476,2021-08-02 22:24:15.486916
488,30001657,ST KILDA ROAD,COVENTRY STREET,DORCAS STREET,22092,2021-08-02 22:24:15.486916
489,30001658,ST KILDA ROAD,DOMAIN ROAD,BROMBY STREET,22724,2021-08-02 22:24:15.486916
490,30001659,ST KILDA ROAD,DOMAIN ROAD,DORCAS STREET,22467,2021-08-02 22:24:15.486916
491,30001660,ST KILDA ROAD,WADEY STREET,ANZAC AVENUE,22702,2021-08-02 22:24:15.486916
